t_data,x_data,delta_data,,x1_data,x2_data,z_data
0,0.999695957,0.099878383,,0.126,-0.142,0.131479636
0.101307154,0.99850893,0.095720371,,1.808,1.856,0.000137233
0.20225811,0.995518208,0.080385202,,-1.854,1.794,0.458153052
0.303538084,0.987738252,0.044705193,,1.848,-1.868,0.420576882
0.404704094,0.975291431,0.003093212,,-1.822,-1.83,0.000142631
0.505735159,0.959928393,-0.028543932,,1.86,1.854,0.000113505
0.606688976,0.945289612,-0.039223602,,1.776,-0.056,0.193910162
0.707721949,0.93210274,-0.029774914,,0.132,-1.802,0.222476226
0.808638096,0.921086609,-0.018075717,,-1.866,0.056,0.173393185
0.909680128,0.908640325,-0.024297099,,-0.546,1.8,0.454888415
1.01091814,0.894566357,-0.037179132,,-1.026,-1.2,0.010104683
1.111984015,0.880572736,-0.037816101,,0.908,1.1,0.016265551
1.213024139,0.868167341,-0.027958304,,0.976,-1.064,0.933685049
1.314013958,0.856272578,-0.028815516,,-1.88,0.92,0.582283088
1.414973021,0.842783928,-0.038319802,,-0.496,0.712,0.481556272
1.516159058,0.827485621,-0.049875133,,-1.884,-0.796,0.011719606
1.617013931,0.814571202,-0.042712081,,1.862,0.728,0.015746901
1.71806407,0.803478956,-0.028708829,,1.778,-1.048,0.699641852
1.818974972,0.79161793,-0.029618269,,0.8,0.192,0.129373394
1.919937134,0.779016733,-0.034381692,,0.384,1.8,0.056815888
2.020864964,0.766478479,-0.035524331,,-0.878,-1.842,0.008910602
2.122128963,0.754355192,-0.031437316,,-1.178,-0.09,0.190290366
2.223078966,0.742995381,-0.030439057,,1.11,-1.862,0.639963995
2.324470043,0.730248392,-0.03641052,,-1.256,1.328,0.980673308
2.425052166,0.717928946,-0.039830036,,-0.14,-1.09,0.165747076
2.526021004,0.706569374,-0.033889586,,,,
2.626919985,0.69640404,-0.023149597,,,,
2.727946997,0.686379611,-0.018840217,,,,
2.828834057,0.674477458,-0.029676885,,,,
2.929847002,0.661107361,-0.043238744,,,,
3.031017065,0.648174942,-0.04708488,,,,
3.132105112,0.637360573,-0.032150393,,,,
3.23298502,0.627266288,-0.023020062,,,,
3.334035158,0.617346585,-0.020629227,,,,
3.434983969,0.606964231,-0.021225259,,,,
3.535997152,0.597675025,-0.01365691,,,,
3.637006998,0.59018749,0.001556019,,,,
3.73832798,0.582826674,0.00774961,,,,
3.839246035,0.573197842,-0.008194478,,,,
3.940204144,0.562519133,-0.018259388,,,,
4.041208982,0.551888108,-0.019409704,,,,
4.142289162,0.542954862,-0.011770469,,,,
4.243355036,0.533235431,-0.014398251,,,,
4.344609022,0.521677852,-0.026649897,,,,
4.445608139,0.510127604,-0.028971224,,,,
4.546612978,0.500401556,-0.016181577,,,,
4.647629023,0.491397023,-0.011804592,,,,
4.748749971,0.481272966,-0.017533551,,,,
4.849957943,0.469688177,-0.025565953,,,,
4.951208115,0.460237533,-0.014850781,,,,
5.052381039,0.452637345,0.001307861,,,,
5.153463125,0.444949657,0.005652475,,,,
5.254493952,0.434812546,-0.010575055,,,,
5.355450153,0.422760487,-0.026033362,,,,
5.456593037,0.411171645,-0.030338504,,,,
5.557642937,0.400092602,-0.024717539,,,,
5.658581972,0.389385849,-0.026303537,,,,
5.759791136,0.377794653,-0.0334327,,,,
5.86077404,0.365206003,-0.041509855,,,,
5.961780071,0.353529155,-0.036134895,,,,
6.062813997,0.343818277,-0.021518548,,,,
6.163850069,0.335027725,-0.010800658,,,,
6.264904022,0.324476629,-0.023587409,,,,
6.366158962,0.310676903,-0.044885825,,,,
6.467133045,0.297384709,-0.053145099,,,,
6.568182945,0.285761744,-0.043479299,,,,
6.669268131,0.275165021,-0.033690506,,,,
6.770251989,0.263587952,-0.037241377,,,,
6.871346951,0.250785589,-0.046634199,,,,
6.972411156,0.237327933,-0.058577504,,,,
7.073420048,0.224703729,-0.053212632,,,,
7.17445612,0.212837666,-0.044943903,,,,
7.275531054,0.202908382,-0.033947588,,,,
7.37658906,0.19293347,-0.030823017,,,,
7.477693081,0.182130232,-0.034223802,,,,
7.578727007,0.170723066,-0.037162946,,,,
7.680213928,0.160133749,-0.022280157,,,,
7.781186104,0.150221497,-0.030687462,,,,
7.882212162,0.141211197,-0.021041227,,,,
7.983458996,0.132881954,-0.009997983,,,,
8.084496021,0.12549907,-0.006249537,,,,
8.185575008,0.117599569,-0.008934539,,,,
8.286800146,0.108967163,-0.008213216,,,,
8.387794971,0.099085063,-0.021126868,,,,
8.488850117,0.091594882,-0.003637704,,,,
8.590044022,0.084424637,0.006865582,,,,
8.691199064,0.081631355,0.032827029,,,,
8.792328119,0.082193539,0.07428102,,,,
8.89338398,0.076821156,0.046959857,,,,
8.994261026,0.073298909,0.05067102,,,,
9.095353127,0.070332572,0.059603603,,,,
9.196530104,0.069087014,0.081262396,,,,
9.297340155,0.065468639,0.068168391,,,,
9.398646116,0.063783303,0.084843272,,,,
9.499761105,0.059492204,0.069530217,,,,
9.600830078,0.052750949,0.053282889,,,,